Name,Date Finished,Date Started,Notes,ISBN,Review Link,CoverURL,Origin
The Isobel Journal,"Apr 28, 2014","Apr 28, 2014",,9781471402272,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1379581118i/18518711.jpg,ebook
Tell the wolves I'm home,"Dec 26, 2013","Dec 8, 2013",,9780679644194,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335450415i/12875258.jpg,ebook
The Age of Miracles,"Jan 7, 2013","Jan 7, 2013",,9780812984750,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358522702i/17257801.jpg,ebook
"Mosquitoland ","Jun 8, 2015","Jun 2, 2015",,9780451470775,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431697159i/25147332.jpg,owned
The Rosie Project (Don Tillman #1),"May 16, 2014","May 10, 2014",,9781405912785,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378013782i/18402464.jpg,ebook
The Rest of Us Just Live Here,"Feb 1, 2017","Jan 27, 2017",,9781406361797,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439830628i/26117652.jpg,ebook
Lost Lake,"Mar 23, 2014","Mar 16, 2014","I first encountered Sara Addison Allen when my boyfriend found a book that looked written just for me. Whatever with “don’t judge a book by its cover”. I judged that book by its cover and title; ‘The Girl Who Chased the Moon’. I loved it. This is the second book I read from this writer, and now she has become one of my favorite.
‘Lost Lake’ is about Kate and Devin, and all the characters included. Kate woke up from her long sad dream when her husband died and after her daughter finds an old postcard, she decides to go on an adventure in search of the happiness she once knew, to offer it to her daughter before they are both tied in the miserable life with her mother-in-law. Sometimes you go through life finding a place to fit in. In Kate’s case, she found it when she was 12, but she never knew it was it until she returned 15 years later. Lost Lake was about to be sold and all the residences knew, it was their home, every summer, new stories were born.
I can’t say enough good things about this book. It connects you to each character, each story, each ending. It drags you back and forward making you feel happy and sad for them. The story is not just about Kate or Devin, but about all the people who found family and home every summer at Lost Lake. Just like with all her other novels, Sarah makes an amazing job making us feel for each of the characters. Every time you think it is a secondary character, she offers you their story, and suddenly they become more important and real. It is almost like reading 20 stories in one.
Another factor I love from her writing is that even though it’s a contemporary story, it always involves a spark of magic. The kind that makes you believe in it. The kind that makes you think, “yes, this might have happen in real life.” The kind that makes you looks around you and try to find that spark of magic in your own life. The kind that makes you believe that maybe after we are gone, we are not really gone, but we become something else, something more, something we wished for the most.
This story is about hope and the chance to start over and rewrite your ending. After I began reading the novel, I read some reviews. It took me by surprise that when Sarah wrote this novel, she was going through a breast cancer fight. It is her statement, “this is my story, and I write the ending.”
Amazing book. Amazing characters. Amazing writer. Five out of five stars of course. ♥",9781250019813,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384531031i/18464735.jpg,ebook
The Rosie Effect (Don Tillman #2),"Oct 8, 2014","Oct 3, 2014",,9781443435925,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416154671i/21936708.jpg,ebook
World After,"Dec 8, 2013","Dec 2, 2013",,9781529372847,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437485592i/18917518.jpg,ebook
After the End (After the End #1),"Jul 23, 2014","Jul 20, 2014",,9780062225603,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1381697718i/18635064.jpg,library
Shades of Earth,"Mar 16, 2014","Mar 12, 2014",You almost had me Beth Revis. You almost made me wish for ugly things for you. Almost. Well done. ♥,9781595146151,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362958068i/17465475.jpg,ebook
the 5th wave,"Apr 5, 2014","Mar 26, 2014",,9781101598962,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371493144i/18081442.jpg,ebook
Divergent,"Apr 4, 2013","Mar 29, 2013",,9780062024039,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,ebook
A million Suns,"Mar 11, 2014","Mar 5, 2014",,9786020313382,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1412010214i/23285977.jpg,ebook
The Giver (The Giver 1),"Oct 23, 2013","Oct 20, 2013",,,,,ebook
Gathering Blue (The Giver 2),"Oct 27, 2013","Oct 23, 2013",,,,,ebook
Messenger (The Giver 3),"Oct 28, 2013","Oct 27, 2013",,,,,ebook
The Infinite Sea (The 5th Wave #2),"Oct 2, 2014","Sep 28, 2014",,,,,ebook
Angelfall (Penryn & the End of Days #1),"Sep 15, 2012","Sep 3, 2012",,,,,ebook
Proxima (Proxima #1),"Aug 9, 2015","Aug 4, 2015",,,,,ebook
The Abyss Beyond Dreams (Commonwealth: Chronicle of the Fallers #1),"Feb 24, 2017","Feb 1, 2017",,,,,owned
A Night Without Stars: A Novel of the Commonwealth (Commonwealth: Chronicle of the Fallers #2),"May 22, 2017","Feb 25, 2017",,,,,ebook
The Engines of God (The Academy #1),"Sep 26, 2018","Jun 9, 2018",,,,,ebook
The Three-Body Problem (Remembrance of Earth's Past #1),"Mar 10, 2017","Mar 1, 2017",,,,,library
The Dark Forest (Remembrance of Earth's Past #2),"Mar 18, 2017","Mar 10, 2017","Yes, in the cold expanse of the universe, all carbon-based life shared a common destiny, one that might take billions of years to cultivate, but a destiny that cultivated feelings of love that transcended time and space. And now, they sensed that love in the droplet, a love that could bridge the chasm of any enmity. Xizi’s eyes were wet, and three hours later, the eyes of billions of people like her would fill with tears.
But Ding Yi watched all of this dispassionately from the rear. “I see something else,” he said. “Something far more sublime. A realm where both self and other are forgotten, an effort to encompass everything by shutting out everything.”",,,,library
Pandora's Star (Commonwealth Saga #1),"Jun 5, 2016","Mar 17, 2016","June 5, 2016 – Finished Reading
June 4, 2016 – 91.0% ""Shht. And that is how you get me to read the next book instantly. Wow.""
June 2, 2016 – page 950 83.04%
June 1, 2016 – page 900 78.67%
June 1, 2016 – page 800 69.93% ""Ok so i was wrong hahah good thing. But now the title does make sense! They were Pandora's Stars opening doom! I can't believe I am actually enjoying this big book. But I am skipping or scanning a lot of detailed political stuff... or over descriptive apartments.""
May 29, 2016 – page 786 68.71% ""and there went my favorite character... at least t is interesting to read from the alien's perspectives""
May 27, 2016 – page 623 54.46% ""So i had to switch it to the ereader as I was getting tired of having to choose between the massive book and study book.""
May 13, 2016 – page 550 48.08%
May 12, 2016 – page 500 43.71%
May 12, 2016 – page 400 34.97% ""truly enjoying it now!""
April 28, 2016 – page 350 30.59% ""been too tired after work to read a lot :(\n also doing more running now but still enjoying the concepts of this book! High Angel, wow, curious to read more about it!""
April 5, 2016 – page 200 17.48% ""slow but delicious ♥""
March 24, 2016 – page 101 8.83% ""nice! a bit over 1k to go!""
March 24, 2016 – page 101 8.83% ""nice! a bit over 1k to go!""
March 18, 2016 – page 38 3.32% ""I definitely have a soft spot for space opera. When they speak about the starts for me is like reading romance. Just because I love to dream about the starts. I love the stars and I love dreaming for the chance to fly through them.""
March 17, 2016 – Currently Reading",,,,owned
Death's End (Remembrance of Earth's Past #3),"Jun 1, 2017","May 22, 2017",,,,,library
Children of Time (Children of Time #1),"Nov 21, 2019","Oct 25, 2019",,,,,ebook
Ultima (Proxima #2),"Oct 7, 2015","Sep 10, 2015",,,,,owned
The Body Electric,"Apr 22, 2015","Apr 17, 2015",,,,,owned
The Fifty-Seven Lives of Alex Wayfare (Alex Wayfare #1),"Aug 6, 2014","Aug 1, 2014",,,,,ebook
Across the Universe,"Feb 22, 2014","Feb 18, 2014",,,,,ebook
Fairest (The Lunar Chronicles #3.5),"Feb 26, 2015","Feb 25, 2015",,,,,owned
"Waking Gods (Themis Files #2)
","Jul 23, 2017","Jul 17, 2017",,,,,ebook
Every Day (Every Day #1),"Jul 27, 2014","Jul 24, 2014",,,,,ebook
The Long Earth (The Long Earth #1),"Jul 18, 2016","Jul 7, 2016",,,,,audiobook
Sleeping Giants (Themis Files #1),"Mar 24, 2017","Mar 21, 2017",,,,,owned
Cinder (The Lunar Chronicles #1),"Mar 28, 2014","Mar 23, 2014",,,,,owned
The First Fifteen Lives of Harry August,"Mar 30, 2017","Mar 24, 2017",I was fascinated by the time manipulation concept and the relationship between harry and Vincent. I felt bad for Vincent at some point as I knew somehow he was in love with Harry but damaged him so much harry hated him with respect and took on his own revenge.i felt bad for both as they were dear to each other.,,,,library
Only Human (Themis Files #3),"May 28, 2019","May 10, 2019",,,,,ebook
End of Days (Penryn & the End of Days #3),"Jun 2, 2015","May 31, 2015",,,,,owned
Winter (The Lunar Chronicles #4),"Dec 13, 2015","Nov 23, 2015","It took me a while, slowly but surely, enjoying every bits of it and feeling deeply satisfied with the series' ending. I will always love The Lunar Chronicles and will miss Cress and Thorne.",,,,owned
Ruby Red (Edelstein-Trilogie #1),"Oct 22, 2014","Oct 16, 2014",,,,,ebook
Sapphire Blue (Edelstein-Trilogie #2),"Oct 26, 2014","Oct 22, 2014",,,,,ebook
Emerald Green (Edelstein-Trilogie #3),"Nov 1, 2014","Oct 27, 2014",,,,,ebook
Cress (The Lunar Chronicles #3),"Oct 14, 2014","Oct 8, 2014",,,,,owned
Winter's Tale,"Apr 24, 2014","Apr 11, 2014",,,,,owned
The Book of Tomorrow,"Jun 22, 2012","Apr 16, 2012",,,,,owned
Slade House,"Aug 19, 2017","Aug 15, 2017",,,,,ebook
The Ocean at the End of the Lane,"Sep 12, 2013","Aug 29, 2013",,,,,ebook
A Tale for the Time Being,"Feb 28, 2014","Feb 23, 2014","February 28, 2014 – Finished Reading
February 27, 2014 – page 350   82.94%
February 25, 2014 – page 270   63.98%
February 24, 2014 – page 208   49.29% ""Blegh. Ruth's parts are getting annoying and too technical. I rather read only about Jiko.""
February 24, 2014 – page 108   25.59% ""120""
February 23, 2014 – page 108   25.59% ""2 hours""
February 23, 2014 – page 49   11.61%
November 14, 2013 –  8.0%
November 14, 2013 – Currently Reading",,,,owned
The Art of Floating,"Mar 3, 2015","Feb 26, 2015",,,,,owned
Magonia (Magonia #1),"Jul 16, 2015","Jul 13, 2015",,,,,owned
The Girl Who Chased the Moon,"Jul 2, 2012","Jun 22, 2012",,,,,library
The Gracekeepers,"May 7, 2015","May 1, 2015","The Gracekeeper is one of those mystical and beautiful novels which transport you into another kind of world. The oceans have devoured the earth, leaving groups of islands around the world to fend for themselves. People divided in land and sea. Trees are sacred, wood is the new high currency and mammals as well as crops of any kind are in high demand and only available to a lucky few. Such as North's bear, one of the main characters.
Callanish, a land girl in charge of resting the dead, meets North, a sea girl with a bear. Is hard to write a review without going into spoilers. So let me just say this, it is worth it. The world is beautifully constructed and the characters are deep. There is no real bad or good guy. They are are survivors in a world that is hard to live in. And they all want one thing, love. In any possible, horrible, beautiful and surreal way.
At first I though it was just Callanish and North's voices. But then we started to read short chapters on other secondary characters, which made the story more interesting and added extra dept. You can compare it to the Night Circus's prose on wonderful things, but then with a touch of -Station Eleven's hope for a different future and adaptation- approach. It has a charm of it's own. It talks about love and family and home, and how we can build it, instead of waiting for someone to do it for us. And how we can adapt to an ever changing earth which is the only home we will ever have.
My final thought: if she is back at her graceyard, then wouldn't the messenger ever go back to her? I really felt he loved her truly. These kind of stories go on in your heart after you turn the last page.",,,,ebook
The Strange and Beautiful Sorrows of Ava Lavender,"May 10, 2014","May 6, 2014","This is a book filled with beautiful enchanting prose. Strange events and stranger people through four generations of women and their love demises. From the first line until the very end, you are taken inside this beautiful melody of a story. Even the characters' names were both beautiful and strange. I began reading with an expectation in mind, a love story, a boy falling for an angel. I got an amazing story of love and sorrows which broke my heart over and over again for each and every character, except for Wilhemina. I think she was the only sane one, serving as their healer and guide. The way how she helped them process their sorrows in the end was an amazing touch. I can not talk much about this book without giving much away. Lets just say my new moleskine reading journal started with a bang and 6 pages filled with all the emotions this book cause me to have.
I am looking forward to reading more books from Leslye Walton and I might include her in my favorite authors list along with Sarah Addison Allen and Neil Gaiman.",,,,owned
The Night Circus,"Feb 12, 2012",,,,,,ebook
The Storyteller's Secret: How TED speakers and inspirational leaders turn their passion into performance,"Nov 1, 2016","Jul 14, 2016",,,,,owned
What Dreams May Come,"Feb 13, 2012","Feb 13, 2012",,,,,ebook
"The Fellowship of the Ring (The Lord of the Rings, #1) (The Lord of the Rings #1)","Feb 25, 2015","Feb 16, 2015",,,,,owned
A wild swan and other tales,"Mar 1, 2017","Jan 2, 2017",,,,,owned
The Hobbit (Middle-Earth Universe),"Jan 23, 2015","Jan 6, 2015",,,,,owned
The Magician's Apprentice (The Black Magician Trilogy 0.5),"Jun 30, 2012","Jun 16, 2012",,,,,library
Liesl & Po,"Mar 4, 2014","Mar 1, 2014",,,,,ebook
The Archived (The Archived #1),"Mar 9, 2015","Mar 5, 2015",,,,,library
Seraphina,"Jan 20, 2014","Oct 14, 2012",,,,,ebook
The Bone Clocks,"Sep 26, 2014","Sep 10, 2014",,,,,ebook
Memoirs of an Imaginary Friend,"Nov 26, 2013","Nov 14, 2013",,,,,ebook
The Bronze Horseman (The Bronze Horseman #1),"Sep 12, 2015","Aug 16, 2015","September 12, 2015 – Finished Reading
September 5, 2015 – 76.0% ""This was getting tiring again. I loved their reunion, but 20+ pages of them ehem was too much for me. I skimmed much at the end of it until the leaving part.""
September 3, 2015 – 49.0% ""That moment when a book touches your soul and you feel too overwhelmed to continue reading, but you keep reading with a bit of hope and fight against the blurriness of the words. :( snif""
September 2, 2015 – 43.0% ""Now it's getting sad :(""
August 29, 2015 – 38.0% ""I think I will need to start having patience with the whole dashia dashia situation. s* got real.""
August 27, 2015 – 28.0% ""I should not read war books before bedtime... horrible nightmares. even being shot on the head nazis""
August 26, 2015 – 22.0%
August 16, 2015 – 8.0% ""Oh God, I just started it out of boredom... now my mind is like ""more more more!""""
August 16, 2015 – Currently Reading
I write this piece with a bit of shame, also with a bit of pride, if that makes sense. I have to confess I do not rave over romance books. Though I do like romance, the exaggerated ideal of it in some books makes me cringe. My expectations for The Bronze Horseman by Paullina Simons were quite high; a sin I often commit when choosing what to read and of which I am trying to distance from. However, this book presented with a lot of promises, and at some point some failed to deliver. I state in advance, this is not a bad book, it is not, it just presents at some point that part of ideal romance books that I dread so much. So to summarize it, my heart was divided in this book. Keep reading to find out why, stop if you don’t want to be spoiled of the feelings I am about to share.",,,,ebook
